trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
20230530,000725.SZ,京东方Ａ,元器件,北京,152.09,372.89,381.86,4123.85,1357.86,2000.54,553.01,1.45,0.01,3.36,1.17,20010112,360.13,0.94,-24.77,-94.36,6.84,-3.25,1364365
20230530,000726.SZ,鲁 泰Ａ,纺织,山东,14.99,5.74,8.64,133.07,56.12,56.84,4.03,0.47,0.11,10.16,0.65,20001225,65.87,7.63,-12.77,-39.92,20.75,6.64,49096
20230530,000727.SZ,冠捷科技,元器件,江苏,0.00,34.19,45.30,339.50,241.07,40.73,44.82,0.99,-0.01,0.57,3.60,19970520,-62.67,-1.38,-26.91,-128.95,12.03,-0.22,102000
20230530,000728.SZ,国元证券,证券,安徽,14.10,43.64,43.64,1330.58,0.00,12.14,170.10,3.90,0.12,7.71,0.87,19970616,67.02,1.54,165.65,533.05,40.49,33.55,117603
20230530,000729.SZ,燕京啤酒,啤酒,北京,129.44,25.10,28.19,223.68,124.94,79.28,43.74,1.55,0.02,4.79,2.48,19970716,40.39,1.43,13.74,7373.34,36.78,2.55,61563
20230530,000731.SZ,四川美丰,农药化肥,四川,7.12,5.86,5.86,52.62,30.28,16.23,6.15,1.05,0.28,7.11,1.14,19970617,24.75,4.23,-3.87,-6.44,24.72,14.93,56149
20230530,000732.SZ,ST泰禾,区域地产,福建,0.00,24.86,24.89,2155.87,1706.60,30.50,22.73,0.91,-0.24,1.56,0.32,19970704,-61.16,-2.46,294.23,-50.00,9.32,-63.98,53185
20230530,000733.SZ,振华科技,元器件,贵州,16.20,5.20,5.20,146.20,110.42,16.40,30.48,5.86,1.41,20.16,4.54,19970703,64.24,12.34,11.46,20.96,63.53,34.96,44505
20230530,000735.SZ,罗 牛 山,农业综合,海南,40.95,11.51,11.52,122.14,38.20,34.94,16.28,1.41,0.04,3.81,1.79,19970611,8.60,0.75,163.47,263.65,29.72,3.58,103500
20230530,000736.SZ,中交地产,全国地产,重庆,0.00,6.95,6.95,1402.41,1317.34,1.17,1.61,0.23,-0.29,4.44,3.04,19970425,21.69,3.12,-31.89,-385.97,11.73,-3.42,65762
20230530,000737.SZ,北方铜业,铜,山西,12.01,7.26,17.72,95.79,45.46,33.22,15.71,0.89,0.12,2.55,2.18,19970428,9.61,0.54,-18.23,-23.36,14.63,7.93,41079
